IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150333505,WARRANTS,WARRANT ARREST,Wednesday,04/19/2017,21:29,MAKADARA,"ARREST, BOOKED",24TH ST / BRYANT ST,36.82170868,-1.297305824,"(37.752796998558445, -122.40913193948903)",1.5E+13
141091334,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,03/08/2017,14:28,DAGORETTI,NONE,800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.40340479147905)",1.41E+13
160913272,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,09/12/2017,09:00,MAKADARA,UNFOUNDED,2700 Block of 16TH ST,36.82170868,-1.297305824,"(37.76532508532617, -122.414222704763)",1.61E+13
150045716,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Thursday,06/01/2017,08:51,MATHARE,"ARREST, BOOKED",100 Block of BALTIMORE WY,36.82170868,-1.275338705,"(37.70910662750824, -122.43184152371002)",1.5E+13
150333505,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Wednesday,04/19/2017,21:29,MAKADARA,"ARREST, BOOKED",24TH ST / BRYANT ST,36.82170868,-1.297305824,"(37.752796998558445, -122.40913193948903)",1.5E+13
150333505,WEAPON LAWS,POSS OF LOADED FIREARM,Wednesday,04/19/2017,21:29,MAKADARA,"ARREST, BOOKED",24TH ST / BRYANT ST,36.82170868,-1.297305824,"(37.752796998558445, -122.40913193948903)",1.5E+13
150333505,WEAPON LAWS,"AMMUNITION, POSS. BY PROHIBITED PERSON",Wednesday,04/19/2017,21:29,MAKADARA,"ARREST, BOOKED",24TH ST / BRYANT ST,36.82170868,-1.297305824,"(37.752796998558445, -122.40913193948903)",1.5E+13
151010841,RECOVERED VEHICLE,"VEHICLE, RECOVERED, MOTORCYCLE",Monday,04/10/2017,23:29,LANGATA,"ARREST, BOOKED",2000 Block of TURK ST,36.80488586,-1.351193098,"(37.77908479450077, -122.44288121498573)",1.51E+13
170006334,ASSAULT,BATTERY,Tuesday,01/03/2017,13:05,EMBAKASI,NONE,1300 Block of WEBSTER ST,36.82170868,-1.27877108,"(37.78302957160442, -122.4310463660887)",1.7E+13
170007047,ASSAULT,BATTERY,Tuesday,01/03/2017,14:00,DAGORETTI,"ARREST, BOOKED",200 Block of INTERSTATE80 HY,36.82170868,-1.27877108,"(37.80967070132394, -122.36556542535305)",1.7E+13
170000057,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,01/01/2017,00:01,EMBAKASI,NONE,100 Block of CERVANTES BL,36.82170868,-1.27877108,"(37.80447236113187, -122.43985718625493)",1.7E+13
170000201,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,01/01/2017,01:00,KIBRA,NONE,0 Block of SHANNON ST,36.82170868,-1.27877108,"(37.786363940878786, -122.41231406793982)",1.7E+13
170000217,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,01/01/2017,01:08,MAKADARA,"ARREST, BOOKED",SANCHEZ ST / 18TH ST,36.82170868,-1.297305824,"(37.76115546431774, -122.43057405936281)",1.7E+13
170000239,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,01/01/2017,00:30,MATHARE,"ARREST, BOOKED",MISSION ST / SILVER AV,36.82170868,-1.275338705,"(37.728729793830304, -122.43129500296338)",1.7E+13
170000245,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Sunday,01/01/2017,01:27,MAKADARA,"ARREST, BOOKED",2200 Block of MARKET ST,36.82170868,-1.297305824,"(37.76511073227029, -122.43219802243345)",1.7E+13
